vacc_scenario,50%,60%,70%,80%
1,4/10/21,18/10/21,1/11/21,22/11/21
2,4/10/21,18/10/21,1/11/21,22/11/21
3,4/10/21,18/10/21,1/11/21,22/11/21
4,27/9/21,11/10/21,1/11/21,22/11/21
5,27/9/21,11/10/21,1/11/21,22/11/21
6,27/9/21,11/10/21,1/11/21,22/11/21
7,27/9/21,11/10/21,1/11/21,22/11/21
8,27/9/21,11/10/21,1/11/21,22/11/21
9,27/9/21,11/10/21,1/11/21,22/11/21
10,4/10/21,11/10/21,25/10/21,15/11/21
11,4/10/21,11/10/21,25/10/21,15/11/21
12,4/10/21,11/10/21,25/10/21,15/11/21
13,20/9/21,4/10/21,18/10/21,8/11/21
14,20/9/21,4/10/21,18/10/21,8/11/21
15,20/9/21,4/10/21,18/10/21,8/11/21
16,6/9/21,4/10/21,18/10/21,8/11/21
17,6/9/21,4/10/21,18/10/21,8/11/21
18,6/9/21,4/10/21,18/10/21,8/11/21
19,4/10/21,18/10/21,8/11/21,22/11/21
